Filename,mIoU_Animals_Only
o_1035590_20_semantic.png,0.8118
o_1034934_17_semantic.png,0.0000
o_1035890_7_semantic.png,0.7887
o_1034627_7_semantic.png,0.0000
o_1035543_12_semantic.png,0.0000
o_1035173_20_semantic.png,0.3975
o_1034770_17_semantic.png,0.7293
o_1034573_7_semantic.png,0.0032
o_1034819_17_semantic.png,0.0000
o_1035288_12_semantic.png,0.0000
o_1036002_17_semantic.png,0.0000
o_1035498_0_semantic.png,0.0000
o_1034575_17_semantic.png,0.0000
o_1035746_12_semantic.png,0.2464
o_1035938_20_semantic.png,0.2922
o_1035261_12_semantic.png,0.9005
o_1034502_0_semantic.png,0.0000
o_1035376_20_semantic.png,0.0000
o_1036082_20_semantic.png,0.1785
o_1034899_20_semantic.png,0.8983
o_1034415_7_semantic.png,0.0119
o_1035591_7_semantic.png,0.8290
o_1034967_12_semantic.png,0.4029
o_1035432_7_semantic.png,0.1858
o_1003876_12_semantic.png,0.0000
o_1034723_12_semantic.png,0.1204
o_1034730_0_semantic.png,0.0000
o_1034803_0_semantic.png,0.0000
o_1034431_20_semantic.png,0.0000
o_1036051_12_semantic.png,0.5000
o_1034526_12_semantic.png,0.0000
o_1035999_0_semantic.png,0.0162
o_1034693_0_semantic.png,0.5674
o_1035232_17_semantic.png,0.0000
o_1035073_7_semantic.png,0.0004
o_1036075_0_semantic.png,0.0000
o_1034949_17_semantic.png,0.8278
o_1035504_20_semantic.png,0.0000
o_1035023_20_semantic.png,0.0000
o_1036004_7_semantic.png,0.0000
o_1035226_20_semantic.png,0.0000
o_1035701_20_semantic.png,0.0000
o_1034425_17_semantic.png,0.3205
o_1036152_17_semantic.png,0.0264
o_1035996_12_semantic.png,0.0178
o_1035852_12_semantic.png,0.2018
o_1036096_17_semantic.png,0.1131
o_1035945_20_semantic.png,0.0506
o_1014923_12_semantic.png,0.1896
o_1034508_17_semantic.png,0.0003
o_1035284_7_semantic.png,0.0000
o_1035339_7_semantic.png,0.0000
o_1035019_12_semantic.png,0.0000
o_1036103_7_semantic.png,0.1201
o_1036040_17_semantic.png,0.0831
o_1035105_0_semantic.png,0.0000
o_1035993_20_semantic.png,0.0204
o_1035884_12_semantic.png,0.0000
o_1034732_17_semantic.png,0.0000
o_1036245_17_semantic.png,0.0373
o_1035026_12_semantic.png,0.0253
o_1035501_12_semantic.png,0.0016
o_1035174_7_semantic.png,0.0000
o_1035416_20_semantic.png,0.8373
o_1036238_0_semantic.png,0.2127
o_1035383_7_semantic.png,0.0067
o_1035940_12_semantic.png,0.0000
o_1035857_20_semantic.png,0.2810
o_1036249_7_semantic.png,0.0000
o_1036184_17_semantic.png,0.1110
o_1035251_0_semantic.png,0.7185
o_1035008_17_semantic.png,0.0000
o_1034962_20_semantic.png,0.1190
o_1034512_7_semantic.png,0.9254
o_1034875_12_semantic.png,0.0031
o_1034519_12_semantic.png,0.6669
o_1035544_0_semantic.png,0.0011
o_1036190_20_semantic.png,0.3235
o_1034563_0_semantic.png,0.0000
o_1035843_17_semantic.png,0.2201
o_1034523_20_semantic.png,0.0000
o_1034629_0_semantic.png,0.0152
o_1035923_0_semantic.png,0.9242
o_1035610_0_semantic.png,0.1109
o_1036143_12_semantic.png,0.1186
o_1035320_17_semantic.png,0.6965
o_1035952_7_semantic.png,0.1897
o_1035661_7_semantic.png,0.2582
o_1035402_17_semantic.png,0.0021
o_1036251_20_semantic.png,0.2209
o_1034975_7_semantic.png,0.1085
o_1034726_20_semantic.png,0.0000
o_1036346_12_semantic.png,0.0000
o_1034631_12_semantic.png,0.8372
o_1035988_12_semantic.png,0.0090
o_1036059_7_semantic.png,0.2852
o_1035961_12_semantic.png,0.0300
o_1035030_7_semantic.png,0.0399
o_1035520_12_semantic.png,0.6214
o_1036061_17_semantic.png,0.0000
o_1034516_17_semantic.png,0.7001
o_1035315_0_semantic.png,0.0000
o_1035315_20_semantic.png,0.0000
o_1035202_12_semantic.png,0.0002
o_1036088_17_semantic.png,0.0015
o_1034610_12_semantic.png,0.9028
o_1034456_7_semantic.png,0.3958
o_1034707_20_semantic.png,0.7378
o_1022699_12_semantic.png,0.0831
o_1034979_12_semantic.png,0.1587
o_1034887_20_semantic.png,0.3851
o_1034990_12_semantic.png,0.0000
o_1036299_20_semantic.png,0.7776
o_1035626_17_semantic.png,0.0000
o_1034427_0_semantic.png,0.0000
o_1034415_12_semantic.png,0.0206
o_1034502_20_semantic.png,0.0000
o_1034439_0_semantic.png,0.8026
o_1036075_20_semantic.png,0.0000
o_1034584_0_semantic.png,0.0000
o_1034840_0_semantic.png,0.0000
o_1035879_0_semantic.png,0.0000
o_1035862_17_semantic.png,0.0000
o_1035754_0_semantic.png,0.0000
o_1036158_20_semantic.png,0.2967
o_1034538_12_semantic.png,0.8922
o_1034831_7_semantic.png,0.0250
